Source,Target,Interaction
DLX5A,MYCB,+
DMAP1,ATM,?
DMAP1,BMI1B,?
DMAP1,CDKN1A,?
DMAP1,DNMT1,?
DMRT1,SOX2,-
DMRT2,MYF-5,+
DNMT1,BAG1,?
DNMT1,BMP2,-
DNMT1,CASP8,-
DNMT1,CDKN2B,?
DNMT1,DNMT1,?
DNMT1,ESR1,?
DNMT1,GAD1,-
DNMT1,HDAC1,?
DNMT1,MBD2,-
DNMT1,MGMT,?
DNMT1,MSH2,+
DNMT1,RASSF1,?
DNMT1,RELN,-
DNMT1,SFRP1,?
DNMT1,TACSTD1,?
DNMT1,TIMP3,-
DNMT1,TNFRSF23,-
DNMT1,TP53,?
DNMT3A,CDH10,-
DNMT3A,CDKN1A,?
DNMT3A,IGFBP3,-
DNMT3A,JUP,?
DNMT3A,SETDB1B,?
DNMT3A,SFRP1,?
DR1,NR1I2,+
DR1,NR2C1-B,?
DR1,PTGS2,+
DR1,TBP,-
DRAP1,TBP,?
DTX1,SMARCC1,-
E2F2,CHEK1,-
E2F2,ECE1,?
E2F2,MCM5,-
E2F3,AURKA-A,+
E2F3,CCNA1,?
E2F3,CCNB2,?
E2F3,CDK1,?
E2F3,CDKN1A,+
E2F3,KAG9266670.1,?
E2F3,MAP3K5,?
E2F3,MAPK10,?
E2F3,MITF,?
E2F3,PLK1,?
E2F4,CCNB2,?
E2F4,CCND1,?
E2F4,CDK2,?
E2F4,E2F2,+
E2F4,FGF2,?
E2F4,STMN1,?
E2F4,KAG9280340.1,-
E2F4,KAG9282298.1,-
E2F4,MAP3K5,?
E2F4,MYBL2,+
E2F4,MYCB,?
E2F4,PLK1,-
E2F4,PLK4,?
E2F4,PPARG,-
E2F4,TOPBP1-A,-
E2F4,TTK,-
E2F5,CHD5,?
E2F5,CSNK1D,?
E2F5,EP400,?
E2F5,FSHR,?
E2F5,GPN3,?
E2F5,KAG9261457.1,?
E2F5,MYCB,?
E2F5,NRBP2,?
E2F5,RNF40,?
E2F5,SCYL1,?
E2F5,SLC12A8,?
E2F5,SUZ12A,?
E2F5,TMEM33,?
E4F1,CCNA1,-
EAF1,ELL,+
EAPP,ABCB11,+
EAPP,CDKN1A,?
EAPP,MAO,-
EGR1,ABCB11,+
EGR1,ACE,+
EGR1,ACHE,?
EGR1,AKR1B1,?
EGR1,ALOX5,+
EGR1,ATF3,+
EGR1,BCAR1,+
EGR1,CACNA1H,?
EGR1,CCND1,+
EGR1,CCND2,?
EGR1,CDK5R1,+
EGR1,CDKN1A,+
EGR1,CGBB,+
EGR1,CXCL8,-
EGR1,DMRT1,?
EGR1,EAPP,+
EGR1,ERBB4,+
EGR1,EP300,+
EGR1,F3,?
EGR1,FASLG,?
EGR1,FGF2,+
EGR1,FLT1,?
EGR1,GDNF,?
EGR1,GGPS1,?
EGR1,HIF1A,+
EGR1,HSD11B2,-
EGR1,IGF2,+
EGR1,IL2RB,?
EGR1,KAG9263770.1,?
EGR1,LDLR,+
EGR1,LMTK2,+
EGR1,MMP24,+
EGR1,MYB,-
EGR1,NAB2,+
EGR1,PCSK2,+
EGR1,PDGFC,+
EGR1,PLAU,+
EGR1,POR,?
EGR1,PPARG,?
EGR1,PSEN2,?
EGR1,PTEN,+
EGR1,PTGES,+
EGR1,PTGS2,-
EGR1,RBL2,+
EGR1,SLC4A2,+
EGR1,SLC9A3,+
EGR1,SOD1,+
EGR1,SOX18,?
EGR1,SYN1,+
EGR1,SYN2,?
EGR1,TBXA2R,?
EGR1,TCF4,+
EGR1,TGFBR2,?
EGR1,TH,?
EGR1,TNF,+
EGR1,TNFSF10,-
EGR1,TOE1,?
EGR1,TP53,+
EGR1,TP73,?
EGR1,UBE2S,+
EGR1,WNT4A,-
EGR2B,FASLG,-
EGR2B,HOXA2B,+
EGR2B,IGF2,?
EGR2B,NAB2,+
EGR2B,PTGS2,?
EGR2B,SCD5,-
EGR2B,ZBTB16A,+
EGR3,CAT,+
EGR3,KAG9263770.1,?
EGR3,NAB2,+
EHF,DCDC2,-
EHMT1,CCND1,?
EHMT2,CDKN1A,?
EHMT2,SIAH2L,-
ELF3,CLDN7A,?
ELF3,MMP9,-
ELF3,PTGS2,?
ELF3,TGFB1,?
ELF3,TGFBR2,+
ELF3,TIMP3,+
ELF4,BRCA2,?
ELF4,CD68,+
ELF4,CYBB,?
ELF4,DLX5A,-
ELF4,ERBB2,?
ELF4,MAB21L2,+
ELF4,MEIS2,+
ELF4,TIE2,+
ELF4,TLR9,?
ELK1,CITED3,?
ELK1,DAP3,?
ELK1,EIF2AK1,+
ELK1,ERBB2,?
ELK1,FOS,?
ELK1,FUT4,?
ELK1,PSEN1,+
ELK1,PTPRZ1,?
ELK1,SRF,?
ELK1,TLR9,?
ELK1,TNFRSF23,+
ELK4,FOS,+
ELK4,NR2C1-B,?
ELL,CDKN1A,-
EMX2,ALX1,+
EMX2,PAX6A,-
EN1,GBX2,-
EN1,PAX5,+
EN1,DMD,-
EN1,WNT7A,-
ENG2B,PAX5,+
ENO1,HSD3B,?
ENO1,MYCB,-
ENO1,PTGS2,?
EOMES,PRF1,?
EOMES,SOX2,-
EP300,ABCB11,?
EP300,CA9,+
EP300,CCNB2,?
EP300,CCND1,?
EP300,CCNE1,+
EP300,CDKN1A,+
EP300,CDKN2B,?
EP300,CRABP1,+
EP300,CREBBP,?
EP300,CXCL8,?
EP300,CYBB,-
EP300,CYP1B1,?
EP300,DNMT1,+
EP300,EIF2AK1,+
EP300,EPO,+
EP300,ERBB2,?
EP300,GFAP,+
EP300,HINFP,+
EP300,IGFBP3,+
EP300,IL12B,+
EP300,KAG9259909.1,?
EP300,KAG9275887.1,?
EP300,KRT19,+
EP300,KAG9280168.1,?
EP300,KAG9282298.1,?
EP300,LAMA3,-
EP300,MGMT,?
EP300,MMP9,+
EP300,MYCB,-
EP300,NR0B2,+
EP300,NR1H4,-
EP300,PARP1,?
EP300,PCNA,-
EP300,PTGS2,+
EP300,SLC9A2,?
EP300,THBD,-
EP300,TP73,+
EP300,VCAM1,+
EP300,XLRS1,?
EP300,YY1,?
EP300,ZEB1,?
EPAS1,CA9,+
EPAS1,CCR7,+
EPAS1,FLT1,+
