,Source,Target,Interaction
532,BARX2,ACTB1,?
533,BARX2,ACTB1,?
534,BARX2,ACTB1,?
535,BARX2,ACTB1,?
536,BARX2,ACTB1,?
537,BARX2,ACTB1,?
538,BARX2,ACTB1,?
539,BARX2,ESR1,?
540,BARX2,L1CAMA,+
541,BARX2,L1CAMA,+
542,BARX2,ACTB1,?
543,BARX2,PAX1A,?
544,BATF3,LOC103041163,?
545,BATF3,LOC103041163,?
546,BCL3,CCND1,?
547,BCL3,LOC107197135,?
548,BCL3,NFKB1,-
549,BCL3,NFKB2,?
550,BCL3,NOS1,?
551,BCL3,TNFAIP3,+
552,BCL3,UBB,?
553,BHLHE41,CCND1,-
554,BHLHE41,MLH1,-
555,BMI1B,CDK1,?
556,BMI1B,CDKN2D,-
557,BMI1B,DKK1B,?
558,BMI1B,IKZF1,-
559,BMI1B,NFKB1,+
560,BMI1B,PTENB,?
561,BMI1B,PTENB,?
562,BMI1B,CDK1,?
563,BMI1B,CDKN2D,-
564,BMI1B,DKK1B,?
565,BMI1B,IKZF1,-
566,BMI1B,NFKB1,+
567,BMI1B,PTENB,?
568,BMI1B,PTENB,?
569,BPTF,HOXC8A,?
570,BRCA2,PSMD3,?
571,BRCA2,RAD51,?
572,BRIP1,MLH1,?
573,BTAF1,DR1,-
574,BTAF1,LOC103034133,-
575,BTF3L4,ATM,+
576,BTF3L4,EPHB2B,+
577,BTF3L4,EPHB2B,+
578,BTF3L4,SSPN,-
579,BTG2,CCND1,-
580,BTG2,CREB1B,+
581,BTG2,CREB1B,+
582,BTG2,KRAS,-
583,BTG2,KRAS,-
584,BTG2,LOC103023393,+
585,RUNX1T1,TCF12,?
586,CBFB,GATA1A,?
587,CBFB,RUNX1,?
588,CBFB,RUNX2B,?
589,CBFB,RUNX2B,?
590,CBX7B,CCNE1,-
591,CBX7B,LOC103023785,+
592,CBX8B,CDKN1D,-
593,CBX8B,CDKN1D,-
594,CDC5L,PLRG1,?
595,CDX1B,DSC2L,?
596,CDX1B,IRF2BP2B,?
597,CDX1B,LOC103034133,?
598,CDX1B,PCNA,+
599,CDX1B,PPARG,+
600,CDX1B,PTGS2B,+
601,CEBPA,BCL2B,-
602,CEBPA,BCL2B,-
603,CEBPA,CRABP2A,-
604,CEBPA,CRMP1,?
605,CEBPA,CSF3R,+
606,CEBPA,CXCR2,?
607,CEBPA,F9B,+
608,CEBPA,GAPDH,?
609,CEBPA,HSPA4B,+
610,CEBPA,ID1,?
611,CEBPA,IGF1,+
612,CEBPA,IGF2B,?
613,CEBPA,IGF2B,?
614,CEBPA,IL10,?
615,CEBPA,INSRA,+
616,CEBPA,INSRA,+
617,CEBPA,LOC107197102,?
618,CEBPA,SLC10A1,?
619,CEBPA,PRL2,?
620,CEBPA,LOC103046566,+
621,CEBPA,LOC103047016,+
622,CEBPA,LOC125801097,?
623,CEBPA,LOC125801097,?
624,CEBPA,LOC125801097,?
625,CEBPA,MAD1L1,?
626,CEBPA,MSTNB,?
627,CEBPA,MYCB,-
628,CEBPA,MYCB,-
629,CEBPA,NFKB1,+
630,CEBPA,NR1H3,?
631,CEBPA,PCK1,+
632,CEBPA,PCK2,?
633,CEBPA,PRL2,?
634,CEBPA,PTGS2B,+
635,CEBPA,SERPINC1,+
636,CEBPA,SLC10A1,?
637,CEBPA,SOCS3A,+
638,CEBPA,SOCS3A,+
639,CEBPA,SPI1B,?
640,CEBPA,STAR,+
641,CEBPA,STAT3,?
642,CEBPA,TLR9,?
643,CEBPA,VLDLR,?
644,CEBPA,ZBTB16A,?
645,CEBPD,CASP8,?
646,CEBPD,CCL20A.3,+
647,CEBPD,LOC103038449,-
648,CEBPD,LOC125782414,?
649,CEBPD,GAPDH,?
650,CEBPD,LOC103038449,-
651,CEBPD,PRL2,?
652,CEBPD,LOC103045627,?
653,CEBPD,PDGFRA,?
654,CEBPD,PPARG,+
655,CEBPD,PRL2,?
656,CEBPD,PTGS2B,?
657,CEBPD,SOD1,+
658,CEBPD,TNFA,?
659,CEBPD,TNFA,?
660,CEBPG,CEBPA,-
661,CEBPG,HBBA2,?
662,CEBPZ,APC,+
663,CEBPZ,COL11A1A,-
664,CEBPZ,LOC103029423,?
665,CEBPZ,LOC103029423,?
666,CEBPZ,LOC103039568,?
667,CEBPZ,LOC103029423,?
668,CEBPZ,MLH1,-
669,CERS5,ATP6V1C1A,?
670,CERS5,ATP6V1C1A,?
671,CERS5,LOC103046784,?
672,CERS5,GNB1A,?
673,CERS5,GNB1A,?
674,CERS5,GNB1A,?
675,CERS5,MIB1,?
676,CERS5,PAFAH1B1B,?
677,CERS5,PAFAH1B1B,?
678,CERS5,WNT7AA,?
679,CERS5,WNT7AA,?
680,CERS5,WNT7AA,?
681,CERS5,ATP6V1C1A,?
682,CERS5,ATP6V1C1A,?
683,CERS5,LOC103046784,?
684,CERS5,GNB1A,?
685,CERS5,GNB1A,?
686,CERS5,GNB1A,?
687,CERS5,MIB1,?
688,CERS5,PAFAH1B1B,?
689,CERS5,PAFAH1B1B,?
690,CERS5,WNT7AA,?
691,CERS5,WNT7AA,?
692,CERS5,WNT7AA,?
693,CERS5,ATP6V1C1A,?
694,CERS5,ATP6V1C1A,?
695,CERS5,LOC103046784,?
696,CERS5,GNB1A,?
697,CERS5,GNB1A,?
698,CERS5,GNB1A,?
699,CERS5,MIB1,?
700,CERS5,PAFAH1B1B,?
701,CERS5,PAFAH1B1B,?
702,CERS5,WNT7AA,?
703,CERS5,WNT7AA,?
704,CERS5,WNT7AA,?
705,CHD5,CD79A,-
706,CHD5,JUND,-
707,CHD5,CD79A,-
708,CHD5,JUND,-
709,CHD7,JAG1B,+
710,CHD8,CCNE2,+
711,CHD8,HOXA2B,?
712,CHD8,MYCB,?
713,CHD8,MYCB,?
714,CHD8,TYMS,?
715,CIITA,CREBBPA,?
716,CIITA,FASLG,?
717,CIITA,IRF1B,?
718,CIITA,IRF2,?
719,CIITA,LOC103023101,-
720,CIITA,LOC103026908,?
721,CIITA,LOC111190039,?
722,CIITA,LOC111190556,+
723,CIITA,LOC111190556,+
724,CIITA,MMP9,-
725,CIITA,PLXNA1A,?
726,CIITA,PLXNA1A,?
