Source,Target,Interaction
ATF6,STARD4,+
ATF6,WBP1,+
ATF6,XBP1,?
ATM,APLF,?
ATM,BCL2B,-
ATM,BCL2B,-
ATM,CDKN1D,?
ATM,CDKN1D,?
ATM,DUSP1,+
ATM,GADD45AB,+
ATM,HDR,-
ATM,INSRA,?
ATM,INSRA,?
ATM,LOC103047016,+
ATM,MTF1,?
ATM,PBK,?
ATM,PCNA,?
ATM,LOC103037103,-
ATM,SLC2A1A,-
ATM,SP1,-
ATRX,LOC103025029,-
ATRX,LOC103025029,-
ATRX,LOC103025029,-
ATRX,LOC103025029,-
ATRX,LOC103025029,-
ATRX,LOC103025029,-
ATRX,LOC103025029,-
BACH2B,BCL2B,?
BACH2B,BCL2B,?
BACH2B,PRDM1A,-
BACH2B,XBP1,-
BARX2,ACTB1,?
BARX2,ACTB1,?
BARX2,ACTB1,?
BARX2,ACTB1,?
BARX2,ACTB1,?
BARX2,ACTB1,?
BARX2,ACTB1,?
BARX2,ESR1,?
BARX2,L1CAMA,+
BARX2,L1CAMA,+
BARX2,ACTB1,?
BARX2,PAX1A,?
BATF3,LOC103041163,?
BATF3,LOC103041163,?
BCL3,CCND1,?
BCL3,LOC107197135,?
BCL3,NFKB1,-
BCL3,NFKB2,?
BCL3,NOS1,?
BCL3,TNFAIP3,+
BCL3,UBB,?
BCL6AA,BCL6AA,-
BCL6AA,CCND2A,-
BCL6AA,CDKN1D,-
BCL6AA,CDKN1D,-
BCL6AA,CDKN2A/B,-
BCL6AA,HDAC7A,-
BCL6AA,IRF4A,-
BCL6AA,LITAF,-
BCL6AA,MYCB,+
BCL6AA,MYCB,+
BCL6AA,STAT3,?
BCL6AA,XBP1,-
BHLHE41,CCND1,-
BHLHE41,MLH1,-
BMI1B,CDK1,?
BMI1B,CDKN2D,-
BMI1B,DKK1B,?
BMI1B,IKZF1,-
BMI1B,NFKB1,+
BMI1B,PTENB,?
BMI1B,PTENB,?
BMI1B,CDK1,?
BMI1B,CDKN2D,-
BMI1B,DKK1B,?
BMI1B,IKZF1,-
BMI1B,NFKB1,+
BMI1B,PTENB,?
BMI1B,PTENB,?
BPTF,HOXC8A,?
BRCA2,PSMD3,?
BRCA2,RAD51,?
BRIP1,MLH1,?
BTAF1,DR1,-
BTAF1,LOC103034133,-
BTF3L4,ATM,+
BTF3L4,EPHB2B,+
BTF3L4,EPHB2B,+
BTF3L4,SSPN,-
BTG2,CCND1,-
BTG2,CREB1B,+
BTG2,CREB1B,+
BTG2,KRAS,-
BTG2,KRAS,-
BTG2,LOC103023393,+
RUNX1T1,TCF12,?
CBFB,GATA1A,?
CBFB,RUNX1,?
CBFB,RUNX2B,?
CBFB,RUNX2B,?
CBX7B,CCNE1,-
CBX7B,LOC103023785,+
CBX8B,CDKN1D,-
CBX8B,CDKN1D,-
CDC5L,PLRG1,?
