,Source,Target,Interaction
7623,KAG9272637.1,KAG9270506.1,?
7624,KAG9272637.1,KAG9268062.1,?
7625,KAG9272637.1,KAG9265048.1,?
7626,KAG9272637.1,KAG9268760.1,?
7628,KAG9272637.1,KAG9264637.1,?
7631,KAG9272637.1,KAG9269236.1,?
7638,KAG9272637.1,KAG9262223.1,?
7640,KAG9272637.1,KAG9262476.1,?
7642,KAG9272637.1,KAG9262945.1,?
7650,KAG9272637.1,KAG9281498.1,?
7651,KAG9272637.1,KAG9283278.1,?
7652,KAG9272637.1,KAG9271101.1,?
7653,KAG9272637.1,KAG9280552.1,?
7656,KAG9272637.1,KAG9281075.1,?
7659,KAG9272637.1,KAG9282482.1,?
7660,KAG9272637.1,KAG9274501.1,?
7661,KAG9272637.1,KAG9267311.1,?
7662,KAG9272637.1,KAG9272637.1,?
7663,KAG9272637.1,KAG9267092.1,?
7664,KAG9272637.1,KAG9264640.1,?
7665,KAG9272637.1,KAG9279317.1,?
7666,KAG9272637.1,KAG9266571.1,?
7667,KAG9272637.1,KAG9266518.1,?
7668,KAG9272637.1,KAG9265728.1,?
7669,KAG9272637.1,KAG9276739.1,?
7670,KAG9272637.1,KAG9280264.1,?
7674,KAG9272637.1,KAG9265910.1,?
7675,KAG9272637.1,KAG9279527.1,?
7676,KAG9272637.1,KAG9260860.1,?
7681,KAG9272637.1,KAG9279628.1,?
7682,KAG9272637.1,KAG9263256.1,?
7683,KAG9272637.1,KAG9273628.1,?
7685,KAG9272637.1,KAG9283392.1,?
7686,KAG9272637.1,KAG9268247.1,?
7688,KAG9272637.1,KAG9271482.1,?
7689,KAG9272637.1,KAG9275414.1,?
7691,KAG9272637.1,KAG9282991.1,?
7696,KAG9272637.1,KAG9268521.1,?
7702,KAG9272637.1,KAG9262988.1,?
7703,KAG9272637.1,KAG9269438.1,?
7706,KAG9272637.1,KAG9263595.1,?
7707,KAG9272637.1,KAG9268193.1,?
7709,KAG9272637.1,KAG9280857.1,?
7712,KAG9272637.1,KAG9266966.1,?
7713,KAG9272637.1,KAG9269448.1,?
7714,KAG9272637.1,KAG9269609.1,?
7715,KAG9272637.1,KAG9273829.1,?
7716,KAG9272637.1,KAG9274481.1,?
7717,KAG9272637.1,KAG9266175.1,?
7718,KAG9272637.1,KAG9278460.1,?
7720,KAG9272637.1,KAG9275188.1,?
7723,KAG9272637.1,KAG9272135.1,?
7724,KAG9272637.1,KAG9264331.1,?
7725,KAG9272637.1,KAG9261064.1,?
7726,KAG9272637.1,KAG9282809.1,?
7727,KAG9272637.1,KAG9272394.1,?
7728,KAG9272637.1,KAG9277474.1,?
7729,KAG9272637.1,KAG9271102.1,?
7730,KAG9272637.1,KAG9279564.1,?
7733,KAG9272637.1,KAG9260427.1,?
7734,KAG9272637.1,KAG9260309.1,?
7735,KAG9272637.1,KAG9278772.1,?
7737,KAG9272637.1,KAG9276532.1,?
7738,KAG9272637.1,KAG9283030.1,?
7740,KAG9272637.1,KAG9274150.1,?
7741,KAG9272637.1,KAG9262416.1,?
7743,KAG9272637.1,KAG9283455.1,?
7748,KAG9272637.1,KAG9279925.1,?
7749,KAG9272637.1,KAG9267552.1,?
7750,KAG9272637.1,KAG9267132.1,?
7751,KAG9272637.1,KAG9266274.1,?
7759,KAG9272637.1,KAG9280861.1,?
7767,KAG9272637.1,KAG9283094.1,?
7770,KAG9272637.1,KAG9282801.1,?
7771,KAG9272637.1,KAG9274094.1,?
7772,KAG9272637.1,KAG9266005.1,?
7775,KAG9272637.1,KAG9271436.1,?
7780,KAG9272637.1,KAG9264742.1,?
7781,KAG9272637.1,KAG9272391.1,?
7783,KAG9272637.1,KAG9273012.1,?
7785,KAG9272637.1,KAG9269993.1,?
7786,KAG9272637.1,KAG9281346.1,?
7787,KAG9272637.1,KAG9273475.1,?
7788,KAG9272637.1,KAG9266360.1,?
7791,KAG9272637.1,KAG9266329.1,?
7793,KAG9272637.1,KAG9282021.1,?
7797,KAG9272637.1,KAG9274933.1,?
7798,KAG9272637.1,KAG9279066.1,?
7799,KAG9272637.1,KAG9283859.1,?
7800,KAG9272637.1,KAG9272661.1,?
7806,KAG9272637.1,KAG9274020.1,?
7813,KAG9272637.1,KAG9262430.1,?
7818,KAG9272637.1,KAG9265201.1,?
7819,KAG9272637.1,KAG9280709.1,?
7820,KAG9272637.1,KAG9265382.1,?
7823,KAG9272637.1,KAG9260118.1,?
7826,KAG9272637.1,KAG9265316.1,?
7828,KAG9272637.1,KAG9275077.1,?
7829,KAG9272637.1,KAG9279508.1,?
7831,KAG9272637.1,KAG9263486.1,?
7832,KAG9272637.1,KAG9273768.1,?
7833,KAG9272637.1,KAG9281820.1,?
7836,KAG9272637.1,KAG9264254.1,?
7838,KAG9272637.1,KAG9276719.1,?
7839,KAG9272637.1,KAG9260463.1,?
7840,KAG9272637.1,KAG9261956.1,?
7842,KAG9272637.1,KAG9278815.1,?
7847,KAG9272637.1,KAG9265027.1,?
7848,KAG9272637.1,KAG9260364.1,?
7850,KAG9272637.1,KAG9263056.1,?
7851,KAG9272637.1,KAG9267250.1,?
7853,KAG9272637.1,KAG9269505.1,?
7855,KAG9272637.1,KAG9259816.1,?
7858,KAG9272637.1,KAG9269888.1,?
7861,KAG9272637.1,KAG9277206.1,?
7863,KAG9272637.1,KAG9267447.1,?
7866,KAG9272637.1,KAG9276673.1,?
7868,KAG9272637.1,KAG9283802.1,?
7871,KAG9272637.1,KAG9276257.1,?
7872,KAG9272637.1,KAG9262279.1,?
7874,KAG9272637.1,KAG9274766.1,?
7876,KAG9272637.1,KAG9272469.1,?
7879,KAG9272637.1,KAG9259678.1,?
7892,KAG9270472.1,KAG9261669.1,?
7916,KAG9270472.1,KAG9273373.1,?
7922,KAG9270472.1,KAG9269814.1,?
7925,KAG9270472.1,KAG9270472.1,?
7926,KAG9270472.1,KAG9280185.1,?
7931,KAG9270472.1,KAG9261786.1,?
7932,KAG9270472.1,KAG9278416.1,?
7933,KAG9270472.1,KAG9280973.1,?
7937,KAG9270472.1,KAG9261372.1,?
7944,KAG9270472.1,KAG9269559.1,?
8901,KAG9279527.1,KAG9261669.1,?
8902,KAG9279527.1,KAG9268120.1,?
8904,KAG9279527.1,KAG9280587.1,?
8905,KAG9279527.1,KAG9273919.1,?
8907,KAG9279527.1,KAG9263822.1,?
8908,KAG9279527.1,KAG9272066.1,?
8912,KAG9279527.1,KAG9261263.1,?
8914,KAG9279527.1,KAG9276696.1,?
8915,KAG9279527.1,KAG9278225.1,?
8929,KAG9279527.1,KAG9273063.1,?
8936,KAG9279527.1,KAG9270015.1,?
8940,KAG9279527.1,KAG9264330.1,?
8942,KAG9279527.1,KAG9271005.1,?
8945,KAG9279527.1,KAG9275367.1,?
8947,KAG9279527.1,KAG9267307.1,?
8949,KAG9279527.1,KAG9269660.1,?
8950,KAG9279527.1,KAG9269430.1,?
8957,KAG9279527.1,KAG9277766.1,?
8959,KAG9279527.1,KAG9260555.1,?
8966,KAG9279527.1,KAG9280727.1,?
8969,KAG9279527.1,KAG9283070.1,?
8999,KAG9279527.1,KAG9261275.1,?
9018,KAG9279527.1,KAG9259740.1,?
9048,KAG9279527.1,KAG9269981.1,?
9062,KAG9279527.1,KAG9275167.1,?
9080,KAG9279527.1,KAG9271915.1,?
9096,KAG9279527.1,KAG9266290.1,?
9101,KAG9279527.1,KAG9277268.1,?
9110,KAG9279527.1,KAG9262977.1,?
9122,KAG9279527.1,KAG9283040.1,?
9125,KAG9279527.1,KAG9268969.1,?
9141,KAG9279527.1,KAG9273703.1,?
9146,KAG9279527.1,KAG9269605.1,?
9148,KAG9279527.1,KAG9270081.1,?
9156,KAG9279527.1,KAG9276751.1,?
9165,KAG9279527.1,KAG9260359.1,?
9168,KAG9279527.1,KAG9267036.1,?
9174,KAG9279527.1,KAG9274601.1,?
9175,KAG9279527.1,KAG9268201.1,?
9176,KAG9279527.1,KAG9265586.1,?
9177,KAG9279527.1,KAG9283039.1,?
9179,KAG9279527.1,KAG9279307.1,?
9182,KAG9279527.1,KAG9273183.1,?
9186,KAG9279527.1,KAG9272399.1,?
9187,KAG9279527.1,KAG9272194.1,?
9188,KAG9279527.1,KAG9272268.1,?
9189,KAG9279527.1,KAG9263702.1,?
9193,KAG9279527.1,KAG9273191.1,?
9194,KAG9279527.1,KAG9266577.1,?
9195,KAG9279527.1,KAG9276339.1,?
9202,KAG9279527.1,KAG9270997.1,?
9203,KAG9279527.1,KAG9270506.1,?
9205,KAG9279527.1,KAG9268062.1,?
9206,KAG9279527.1,KAG9265048.1,?
9207,KAG9279527.1,KAG9268760.1,?
9212,KAG9279527.1,KAG9267864.1,?
9214,KAG9279527.1,KAG9264637.1,?
9217,KAG9279527.1,KAG9269236.1,?
9219,KAG9279527.1,KAG9266740.1,?
9221,KAG9279527.1,KAG9277462.1,?
9225,KAG9279527.1,KAG9262223.1,?
9228,KAG9279527.1,KAG9262945.1,?
