Source,Target,Interaction
AOP,CG31038,?
AOP,CG31158,?
AOP,CG31176,?
AOP,CG31291,?
AOP,CG31531,?
AOP,CG32043,?
AOP,CG32082,?
AOP,CG32137,?
AOP,CG32541,?
AOP,CG32676,?
AOP,CG33144,?
AOP,CG33232,?
AOP,CG33298,?
AOP,CG33691,?
AOP,CG33692,?
AOP,CG33960,?
AOP,CG34104,?
AOP,CG34347,?
AOP,CG34350,?
AOP,CG34388,?
AOP,CG34417,?
AOP,CG3638,?
AOP,CG3655,?
AOP,CG3921,?
AOP,CG42238,?
AOP,CG42342,?
AOP,CG42389,?
AOP,CG42457,?
AOP,CG42506,?
AOP,CG42669,?
AOP,CG42674,?
AOP,CG42684,?
AOP,CG42747,?
AOP,CG42749,?
AOP,CG42788,?
AOP,CG42856,?
AOP,CG43162,?
AOP,CG4374,?
AOP,CG4386,?
AOP,CG5004,?
AOP,CG5346,?
AOP,CG5873,?
AOP,CG5921,?
AOP,CG6040,?
AOP,CG6118,?
AOP,CG6954,?
AOP,CG7080,?
AOP,CG7115,?
AOP,CG8176,?
AOP,CG8312,?
AOP,CG8965,?
AOP,CG9650,?
AOP,CHN,?
AOP,CIC,?
AOP,CIP4,?
AOP,CK,?
AOP,CNO,?
AOP,COMM,?
AOP,CORA,?
AOP,CPO,?
AOP,CRB,?
AOP,CSK,?
AOP,CYCG,?
AOP,CYCT,?
AOP,CYP12E1,?
AOP,DAAM,?
AOP,DH31-R1,?
AOP,DLG1,?
AOP,DL,?
AOP,DRL,?
AOP,DS,?
AOP,DUOX,?
AOP,DY,?
AOP,DYL,?
AOP,DYS,?
AOP,EC,?
AOP,ED,?
AOP,EGFR,?
AOP,EIP63E,?
AOP,ENA,?
AOP,EYA,?
AOP,FAS1,?
AOP,FAS2,?
AOP,FAS3,?
AOP,FHOS,?
AOP,FL(2)D,?
AOP,FPS85D,?
AOP,GAP1,?
AOP,GASP,?
AOP,GEF64C,?
AOP,GISH,?
AOP,GL,?
